bank,year,group,keyword,count,rel_freq,status,colname
CIMB,2020,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2020,FTII,big data,5,6.564867455326078e-05,pypdf,FTII__big data
CIMB,2020,FTII,blockchain,1,1.3129734910652154e-05,pypdf,FTII__blockchain
CIMB,2020,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2020,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2020,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
CIMB,2020,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2020,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2020,FTII,data mining,0,0.0,pypdf,FTII__data mining
CIMB,2020,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2020,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2020,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2020,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2020,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2020,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2020,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2020,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
CIMB,2020,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2020,FTOI,digital wallet,0,0.0,pypdf,FTOI__digital wallet
CIMB,2020,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2020,FTOI,internet banking,0,0.0,pypdf,FTOI__internet banking
CIMB,2020,FTOI,lending platform,0,0.0,pypdf,FTOI__lending platform
CIMB,2020,FTOI,mobile banking,4,5.2518939642608616e-05,pypdf,FTOI__mobile banking
CIMB,2020,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2020,FTOI,online banking,4,5.2518939642608616e-05,pypdf,FTOI__online banking
CIMB,2020,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2020,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2020,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
CIMB,2020,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2020,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
CIMB,2021,FTII,ai,1,8.493434575073469e-06,pypdf,FTII__ai
CIMB,2021,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2021,FTII,artificial intelligence,3,2.5480303725220406e-05,pypdf,FTII__artificial intelligence
CIMB,2021,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2021,FTII,big data,7,5.945404202551428e-05,pypdf,FTII__big data
CIMB,2021,FTII,blockchain,1,8.493434575073469e-06,pypdf,FTII__blockchain
CIMB,2021,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2021,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2021,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
CIMB,2021,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2021,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2021,FTII,data mining,0,0.0,pypdf,FTII__data mining
CIMB,2021,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2021,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2021,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2021,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2021,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2021,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2021,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2021,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
CIMB,2021,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2021,FTOI,digital wallet,0,0.0,pypdf,FTOI__digital wallet
CIMB,2021,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2021,FTOI,internet banking,0,0.0,pypdf,FTOI__internet banking
CIMB,2021,FTOI,lending platform,1,8.493434575073469e-06,pypdf,FTOI__lending platform
CIMB,2021,FTOI,mobile banking,3,2.5480303725220406e-05,pypdf,FTOI__mobile banking
CIMB,2021,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2021,FTOI,online banking,8,6.794747660058775e-05,pypdf,FTOI__online banking
CIMB,2021,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2021,FTOI,online loan,1,8.493434575073469e-06,pypdf,FTOI__online loan
CIMB,2021,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
CIMB,2021,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2021,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
CIMB,2022,FTII,ai,0,0.0,pypdf,FTII__ai
CIMB,2022,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2022,FTII,artificial intelligence,5,4.3165591843429765e-05,pypdf,FTII__artificial intelligence
CIMB,2022,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2022,FTII,big data,4,3.4532473474743815e-05,pypdf,FTII__big data
CIMB,2022,FTII,blockchain,1,8.633118368685954e-06,pypdf,FTII__blockchain
CIMB,2022,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2022,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2022,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
